ㅅㅐㅇㄱㅏㄱㅎㅏㄴㄷㅏ	S E NG G A Kh A N D A
ㅅㅣㄲㅏㅈㅣ	S I GG A J I
ㅅㅗㄹㅣㄹㅡㄹ	S O R I R EU L
ㅅㅣㄹㄴㅐ	S I N N E
ㅅㅣㅇㅅㅣㅇㅎㅏㄷㅏ	S I NG S I NG H A D A
ㅆㅗㄱ	SS O G
ㅎㅗㄴㅈㅏ	H O N J A
ㅎㅏㄱㄱㅛㅇㅔ	H A k GG iO E
ㅍㅕㄴㅎㅏㄴ	Ph iEO N A N
ㅅㅣ	S I
ㅎㅏㄴ	H A N
ㅅㅣㅎㅓㅁ	S I EO M
ㅎㅓㄹㅣ	H EO R I
ㅅㅟㄷㅏ	S UI D A
ㅎㅣㅁㄷㅡㄹㅇㅓㅆㅇㅓㅇㅛ	H I M D EU R EO SS EO iO
ㅇㅏㄹㅡㅁㄷㅏㅇㅜㄴ	A R EU M D A U N
ㅎㅐㄷㅗ	H E D O
ㅅㅜㅇㅓㅂㅇㅣ	S U EO B I
ㅎㅢㅁㅏㅇ	H euI M A NG
ㅅㅣㅈㅏㄱㅎㅐㅇㅛ	S I J A Kh E iO
ㅅㅣㅍㄷㅏ	S I p DD A
ㅇㅏㅈㅜ	A J U
ㅇㅏㅂㅓㅈㅣㅇㅘ	A B EO J I oA
ㅇㅏㄵㄱㅗ	A N G O
ㅇㅏㅎㅗㅂ	A O p
ㅅㅣㅂㅁㅏㄴ	S I M M A N
ㅇㅏㄹㅇㅏㅆㄷㅏㅁㅕㄴ	A R A t DD A M iEO N
ㅅㅣㅈㅏㄱㅎㅏㄴㄷㅏㄱㅗ	S I J A Kh A N D A G O
ㅇㅏㄴ	A N
ㅅㅣㄹㅅㅜㅎㅏㅈㅣ	S I L S U A J I
ㅂㅣㅂㅣㅁㅂㅏㅂ	B I B I M B A p
ㅇㅏㄶㅇㅡㄹㄲㅏ	A N EU L GG A
ㅍㅏㅇㅏㄱㅎㅏㅈㅣ	Ph A A Kh A J I
ㅇㅓㄸㅓㅎㄱㅔ	EO DD EO Kh E
ㅎㅏㄱㅈㅏㅇㅢ	H A k JJ A euI
ㅆㅗㄷㅇㅏㅇㅛ	SS O D A iO
ㅆㅡㄱㅣ	SS EU G I
ㅇㅏㅈㅣㄱ	A J I k
ㅇㅏㅈㅣㄱㄷㅗ	A J I k DD O
ㅃㅜㄹㅣ	BB U R I
ㅇㅏㄶㄱㅔㅆㅈㅣㅁㅏㄴ	A N Kh E t JJ I M A N
ㅇㅓㅄㅇㅓㅆㅇㅓㅇㅛ	EO p SS EO SS EO iO
ㅇㅓㄸㅐㅇㅛ	EO DD E iO
ㅇㅕㄹㄹㅕㅆㄴㅔㅇㅛ	iEO L L iEO N N E iO
ㅇㅓㄹㄱㅜㄹㅇㅣ	EO L G U R I
ㅇㅖㅈㅓㅇㅇㅣㅅㅣㅂㄴㅣㄲㅏ	iE J EO NG I S I M N I GG A
ㅇㅕㄱㅣㄲㅏㅈㅣ	iEO G I GG A J I
ㅅㅏㄹㅇㅣ	S A R I
ㅇㅗㅅㅣㅂ	O S I M
ㅅㅐㄱㅈㅗㅇㅇㅣ	S E k JJ O NG I
ㅎㅐㄷㅗㄷㅇㅣ	H E D O D I
ㅇㅓㄷㅣ	EO D I
ㅎㅣㅁㄷㅡㄴ	H I M D EU N
ㅇㅑㄱㅜ	iA G U
ㅇㅏㄵㅇㅏㅅㅓ	A N J A S EO
ㅇㅓㄸㅓㄴ	EO DD EO N
ㅅㅓㅇㅈㅏㅇㅎㅐㅆㅅㅡㅂㄴㅣㄷㅏ	S EO NG J A NG H E S SS EU M N I D A
ㅇㅑㄱㄱㅜㄱ	iA k GG U k
ㅇㅕㅇㅇㅓ	iEO NG EO
ㅇㅓㄴㄴㅣ	EO N N I
ㅇㅛㅇㄷㅗㄴㅇㅡㄴ	iO NG D O N EU N
ㅅㅜㅇㅓㅂㄹㅛㄱㅏ	S U EO M N iO G A
ㅇㅟ	UI
ㅅㅣㄱㅖ	S I G iE
ㅇㅓㅄㄷㅏ	EO p DD A
ㅇㅡㅁㅅㅣㄱㄱㅘ	EU M S I k GG oA
ㅇㅓㅄㅇㅡㅁㅕㄴ	EO p SS EU M iEO N
ㅇㅗㅁㅕㄴ	O M iEO N
ㅅㅣㄴㄱㅗ	S I N G O
ㅇㅕㄷㅓㄼ	iEO D EO L B
ㅆㅏㄷㅏ	SS A D A
ㅇㅕㅇㅇㅕㄱㅇㅣ	iEO NG iEO G I
ㅇㅏㅇㅣㅅㅡㅋㅡㄹㅣㅁ	A I S EU Kh EU R I M
ㅇㅕㄹㅅㅣㅁㅎㅣ	iEO L S I M H I
ㅇㅏㄴㄴㅕㅇㅎㅏㅅㅔㅇㅛ	A N N iEO NG H A S E iO
